START_STATION,AVG_RIDE_COUNT
Damen Ave & Sunnyside Ave,175.50
State St & 19th St,175.13
Morgan St & 31st St,174.83
Lincoln Ave & Addison St,172.75
Clark St & Elmdale Ave,172.38
University Library (NU),168.96
Paulina St & Montrose Ave,166.79
Indiana Ave & 26th St,164.13
Clinton St & Tilden St,163.92
Ashland Ave & Belle Plaine Ave,161.29
California Ave & Montrose Ave,160.58
Wells St & 19th St,160.33
Clinton St & 18th St,158.58
California Ave & Fletcher St,158.42
Lake Park Ave & 47th St,157.04
Troy St & North Ave,157.04
Greenview Ave & Jarvis Ave,156.83
Western Ave & Congress Pkwy,156.58
Elston Ave & Wabansia Ave,156.04
Shields Ave & 31st St,155.46
63rd St Beach,154.68
Washtenaw Ave & Lawrence Ave,153.79
Canal St & Harrison St,153.54
Racine Ave & 15th St,153.42
Rockwell St & Eastwood Ave,143.71
Talman Ave & Addison St,143.29
Leavitt St & Lawrence Ave,142.58
St. Louis Ave & Fullerton Ave,141.75
Damen Ave & Walnut (Lake) St,140.88
Ogden Ave & Congress Pkwy,140.83
Clark St & Schreiber Ave,139.83
Ashland Ave & 13th St,137.46
Eastlake Ter & Rogers Ave,136.92
Campbell Ave & Montrose Ave,136.38
Wentworth Ave & 33rd St,134.33
Leavitt St & Addison St,133.46
Emerald Ave & 28th St,132.92
Damen Ave & Cullerton St,132.75
Laflin St & Cullerton St,131.38
Sheridan Rd & Greenleaf Ave,131.25
Wallace St & 35th St,129.67
Western Ave & Roscoe St,128.83
Claremont Ave & Hirsch St,127.38
Clark St & Lunt Ave,127.33
Halsted St & North Branch St,125.92
Lincoln Ave & Winona St,125.00
Cottage Grove Ave & Oakwood Blvd,117.79
Oakley Ave & Irving Park Rd,116.00
Francisco Ave & Foster Ave,116.00
California Ave & Byron St,115.25
Wentworth Ave & 24th St (Temp),115.17
South Shore Dr & 71st St,114.75
Artesian Ave & Hubbard St,114.63
Glenwood Ave & Touhy Ave,112.75
Troy St & Elston Ave,112.54
Calumet Ave & 35th St,112.00
May St & Cullerton St,111.42
Greenwood Ave & 47th St,110.67
Clark St & Columbia Ave,110.46
Smith Park,109.46
Western Ave & Monroe St,108.71
Marshfield Ave & Cortland St,107.83
Richmond St & Diversey Ave,107.75
Hoyne Ave & Balmoral Ave,104.92
Paulina St & Howard St,103.17
Spaulding Ave & Division St,102.67
Kosciuszko Park,102.04
N Green St & W Lake St,101.39
Central Park Ave & Elbridge Ave,101.33
Halsted St & 21st St,100.08
Kimball Ave & Belmont Ave,99.88
Woodlawn Ave & Lake Park Ave,98.00
Albany Ave & Montrose Ave,97.04
Manor Ave & Leland Ave,95.25
Malcolm X College Vaccination Site,94.79
Halsted St & 35th St,93.17
Western Ave & 21st St,92.75
Avers Ave & Belmont Ave,90.71
Winchester (Ravenswood) Ave & Balmoral Ave,89.96
Shields Ave & 28th Pl,89.46
Halsted St & 18th St (Temp),88.92
Halsted St & Archer Ave,88.46
South Shore Dr & 67th St,86.96
Wentworth Ave & 35th St,86.88
Evanston Civic Center,86.46
Halsted St & 18th St,85.38
Cherry Ave & Blackhawk St,81.79
Ogden Ave & Roosevelt Rd,78.13
Central St Metra,76.79
W Oakdale Ave & N Broadway,74.79
Christiana Ave & Lawrence Ave,73.79
Dorchester Ave & 49th St,72.92
Western Ave & Lunt Ave,72.88
Valli Produce - Evanston Plaza,72.79
Kedzie Ave & Foster Ave,70.43
Clinton St & Polk St,69.83
MLK Jr Dr & Pershing Rd,69.67
California Ave & 21st St,69.17
Drake Ave & Montrose Ave,69.13
Monticello Ave & Irving Park Rd,66.08
Avondale Ave & Irving Park Rd,65.79
Loomis St & Archer Ave,65.33
Central Park Ave & North Ave,64.96
Hermitage Ave & Polk St,64.75
Washtenaw Ave & Ogden Ave,64.50
Kedzie Ave & Leland Ave,63.75
Warren Park West,63.58
Western Ave & Granville Ave,63.46
Cottage Grove Ave & 51st St,62.92
Cottage Grove Ave & 47th St,62.50
Central St & Girard Ave,62.46
Racine Ave & 13th St,62.04
Normal Ave & Archer Ave,61.38
Prairie Ave & Garfield Blvd,60.96
Bernard St & Elston Ave,60.88
Elmwood Ave & Austin St,56.87
Racine Ave & 35th St,55.83
Sawyer Ave & Irving Park Rd,55.71
Prairie Ave & 43rd St,55.67
Calumet Ave & 51st St,55.61
Ashland Ave & Archer Ave,55.00
Budlong Woods Library,54.00
Kedzie Ave & Bryn Mawr Ave,53.58
Clark St & Jarvis Ave,53.17
MLK Jr Dr & 47th St,52.13
DuSable Museum,50.77
Bosworth Ave & Howard St,50.63
Lincolnwood Dr & Central St,50.59
Warren Park East,48.63
Cottage Grove Ave & 43rd St,48.17
California Ave & 23rd Pl,48.05
2112 W Peterson Ave,47.88
Clark St & Touhy Ave,47.88
St. Louis Ave & Balmoral Ave,46.75
Conservatory Dr & Lake St,46.71
Dorchester Ave & 63rd St,46.71
Jeffery Blvd & 67th St,45.92
California Ave & Lake St,45.42
Keystone Ave & Fullerton Ave,44.57
Dodge Ave & Church St,44.23
State St & 29th St,43.88
Cottage Grove Ave & 63rd St,42.42
Leavitt St & Archer Ave,42.00
Drake Ave & Addison St,41.79
Western Ave & 24th St,41.63
Keystone Ave & Montrose Ave,41.58
Western Ave & Howard St,40.38
Milwaukee Ave & Cuyler Ave,39.92
Kedzie Ave & Chicago Ave,39.71
Ridge Blvd & Howard St,37.38
Cornell Dr & Hayes Dr,37.22
Wood St & 35th St,36.83
Central Ave & Chicago Ave,36.24
Damen Ave & Wabansia Ave,36.04
Kildare Ave & Montrose Ave,35.08
Kedzie Ave & Lake St,34.88
Dodge Ave & Main St,34.78
W Armitage Ave & N Sheffield Ave,34.54
South Shore Dr & 74th St,34.21
Ridge Blvd & Touhy Ave,34.04
Halsted St & 47th Pl,33.96
Damen Ave & Coulter St,33.21
Fairfield Ave & Roosevelt Rd,32.67
Maplewood Ave & Peterson Ave,32.54
Halsted St & 37th St,32.04
Stony Island Ave & 64th St,31.48
Union Ave & Root St,31.46
Damen Ave & Pershing Rd,31.32
Indiana Ave & 40th St,31.25
Austin Blvd & Lake St,30.88
Archer (Damen) Ave & 37th St,30.21
Dodge Ave & Mulford St,28.83
Calumet Park,28.77
Big Marsh Park,28.56
Oakley Ave & Touhy Ave,28.46
Central Park Ave & Ogden Ave,28.21
Chicago State University,27.59
Pulaski Rd & Eddy St (Temp),27.17
N Sheffield Ave & W Wellington Ave,27.09
Stony Island Ave & 67th St,27.08
Eberhart Ave & 61st St,26.83
Wolcott Ave & Fargo Ave,26.57
Knox Ave & Montrose Ave,25.96
Stony Island Ave & 71st St,24.75
State St & 95th St,23.29
Rainbow Beach,22.42
MLK Jr Dr & 56th St,22.35
Central Park Blvd & 5th Ave,22.26
Jeffery Blvd & 71st St,22.13
Hampden Ct & Diversey Ave,21.79
Sacramento Blvd & Franklin Blvd,21.57
Stony Island Ave & 75th St,21.23
Kilbourn Ave & Irving Park Rd,20.83
Austin Blvd & Madison St,20.75
Prospect Sq & 91st St,20.00
Princeton Ave & 47th St,19.29
Burnham Greenway & 105th St,19.05
Kedzie Ave & 21st St,18.91
MLK Jr Dr & 63rd St,18.79
Kilbourn Ave & Milwaukee Ave,18.68
State St & Pershing Rd,18.52
Ashland Ave & Pershing Rd,18.46
Phillips Ave & 79th St,18.42
Kedzie Ave & Roosevelt Rd,18.22
N Southport Ave & W Newport Ave,17.91
Western Blvd & 48th Pl,17.75
Marshfield Ave & 44th St,17.67
California Ave & 26th St,17.24
Princeton Ave & Garfield Blvd,17.08
Jeffery Blvd & 76th St,17.05
Cottage Grove Ave & 67th St,17.00
Hale Ave & 107th St,16.65
Austin Blvd & Chicago Ave,16.63
Central Ave & Lake St,16.30
Albany Ave & 26th St,16.17
Ashland Ave & McDowell Ave,15.67
Hoyne Ave & 47th St,15.25
Lawndale Ave & 111th St,15.17
Wabash Ave & 87th St,15.13
Central Ave & Madison St,15.08
State St & 54th St,14.74
State St & 79th St,14.71
Yates Blvd & 75th St,14.67
Base - 2132 W Hubbard Warehouse,14.57
Eberhart Ave & 91st St,14.14
Commercial Ave & 130th St,14.13
Millard Ave & 26th St,13.95
N Carpenter St & W Lake St,13.87
Exchange Ave & 79th St,13.59
Greenwood Ave & 97th St,13.52
Cottage Grove Ave & 83rd St,13.17
Western Ave & 111th St,12.67
Dauphin Ave & 87th St,12.58
Pulaski Rd & Lake St,12.42
Stony Island Ave & 82nd St,12.39
Perry Ave & 69th St,12.29
Kedzie Ave & Harrison St,12.05
Walden Pkwy & 100th St,11.95
Kedzie Ave & 24th St,11.80
Elizabeth St & 92nd St,11.80
Wentworth Ave & 63rd St,11.67
McClurg Ct & Ohio St,11.32
